,mx,mn
Lat,32.39326,31.33272
Lon,-106.30344,-111.12325
SED,1.016719661,0.98328
SZA,106.9467335,8.375029725
Wind Speed,20.7332155,0.199995725
RH,97.4,2.7
TMP,318.5,267.2
smoke_dust_mask_ge,2,0
abi_aod_ge,2.367757559,0
pm_avg,664.8111572,0
