,mx,mn
Lat,40.54568,32.53847
Lon,-115.4365,-123.36534
SED,1.016719661,0.98328
SZA,117.4602995,9.515776306
Wind Speed,19.07229092,0.113980755
RH,100,1.8
TMP,324,264.8
smoke_dust_mask_ge,2,0
abi_aod_ge,4.794776917,0
pm_avg,974.7915039,0
