,mx,mn
Lat,28.05133,26.05158
Lon,-80.08817,-80.65548
SED,1.016719661,0.98328
SZA,81.9708322,5.530815837
Wind Speed,15.39638026,0.348051576
RH,100,16.4
TMP,308.2,279.2
smoke_dust_mask_ge,1,0
abi_aod_ge,1.959416628,0
pm_avg,86.5867691,0
