,mx,mn
Lat,49.93694,43.55609
Lon,-90.70071,-103.53031
SED,1.016719661,0.98328
SZA,103.7643609,20.13965953
Wind Speed,20.39091718,0.148533161
RH,100,5.7
TMP,315,250.2
smoke_dust_mask_ge,1,0
abi_aod_ge,4.920678139,0
pm_avg,473.4772339,0
